id,executable_id,endpoint_type,endpoint_value,protocol,port,confidence_score,detection_method,context,analysis_timestamp,executable_name,exe_classification
1774,1,unknown,"http://www.w3.org/2000/svg"">",,,0.8,hybrid_analysis,"{<svg width=""48"" height=""48"" viewBox=""0 0 48 48"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1775,1,unknown,"http://www.w3.org/2000/svg"">",,,0.8,hybrid_analysis,"@<svg width=""32"" height=""32"" viewBox=""0 0 32 32"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1779,1,unknown,"http://www.w3.org/2000/svg"">",,,0.8,hybrid_analysis,"<svg width=""48"" height=""48"" viewBox=""0 0 48 48"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1780,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1781,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1782,1,unknown,"http://www.w3.org/2000/svg"">",,,0.8,hybrid_analysis,"<svg width=""48"" height=""48"" viewBox=""0 0 48 48"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1783,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1784,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1785,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""32px"" height=""32px"" viewBox=""0 0 32 32"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1786,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""32px"" height=""32px"" viewBox=""0 0 32 32"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1787,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1788,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1789,1,unknown,"http://www.w3.org/2000/svg"">",,,0.8,hybrid_analysis,"<svg width=""48"" height=""48"" viewBox=""0 0 48 48"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1790,1,unknown,"http://www.w3.org/2000/svg"">",,,0.8,hybrid_analysis,"<svg width=""48"" height=""48"" viewBox=""0 0 48 48"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1791,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""32px"" height=""32px"" viewBox=""0 0 32 32"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1792,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""32px"" height=""32px"" viewBox=""0 0 32 32"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1793,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""24px"" height=""24px"" viewBox=""0 0 24 24"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1794,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""24px"" height=""24px"" viewBox=""0 0 24 24"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1795,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1796,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1797,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""49px"" height=""48px"" viewBox=""0 0 49 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
